SFI Rank (for all words in 'NGSL Stats & Frequencies to 34K' list)	Lemma/Word (map to 'Front' in Anki)	Outline in dictionary, or an outline that works without your having to add anything to the dictionary	Outline added to dictionary	Simplified outline/notes (please see the Readme for more information regarding this column)	Alternate outline/notes (note: alternate outlines may have been remapped to another outline. In addition, outlines identified as such in this section are likely original outlines unless otherwise specified.)	Story for remembering new outline (or original outline, if there is no new outline)	Story for remembering original outline (if there is also a new outline) (note: outlines identified as such in this section are likely original outlines unless otherwise specified.)	Word number	NIO (Non-intuitive outline)? (I should note that with respect to this column, my bar for what constitutes an 'intuitive' outline is pretty low; if the outline has some resemblance to the word it's representing (such as the same first letter), even if it's pretty weak, I'll probably consider it an intuitive outline. However, this list doesn't follow any set standards.)	NIVLO (Non-Intuitive Vowel-less Outline?) (I have found that vowel-less outlines that aren't intuitive tend to be less than ideal. However, not all NIVLOs are poor outline choices, and it's certainly the case that not all 'voweled'/intuitive outlines are good outline choices. I should note that with respect to this column, my bar for what constitutes an 'intuitive' outline is pretty low; if the outline has some resemblance to the word it's representing (such as the same first letter), even if it's pretty weak, I'll probably consider it an intuitive outline. However, this list doesn't follow any set standards.)	Outline that you might want to change in the future? (Example: it's a 3-or 4-keypress vowel-less outline that you don't really like.)	Wordlist	Tags (for Anki)	Within-NGSL Rank	1337 Column	#of characters in added-in outline (or pre-existing outline if there's no addition)	# of strokes, if greater than 1, in the added-in outline (or the original outline if there was no addition)	#Of characters in the original outlines (e.g. excluding added-in outlines)	#of strokes in the original outline (excluding added-in outlines)	#number of characters in the original English word (counting capitalization and punctuation, but not spaces before/after words)
2898.00	drunk	TKRUPBG	TKURT	"TKURT is based on the addition of TKUR for ""drink."" I also added in TKURPBT for ""drunken"" and both TK*URT and TK*URPBT for ""drunkenness."""		"""I have drunk a bottle of TACO (-T) sauce before,"" your friend says to you, ""and I would not recommend it. Try DUR-ing (drinking) water instead. (TKUR is an addition for ""drink."")"		3062				4- Not in a list	2001-3K		BF5	5.000		7		5
2899.00	interval	EUPBT/SRAL	SPWAL	"Remember that SPW- can represent the ""int-"" prefix."		"It's important for the SPACE SHUTTLE (S-) to have machinery that can check its BAL (balance) at regular intervals. (PWAL is an outline for ""balance."")"		3063				3 - NAWL	2001-3K		BF6	5.000		9	2	8
2900.00	pet	PET						3064				4- Not in a list	2001-3K		BF7	3.000		3		3
2901.00	replacement	RE/PHRAEUPLT	RUPT	"RUPT is based on the addition of RUP for ""replace."" I also added in RUPLT as a misstroke entry."			"If the video games on a console have great RE/PHRAEU (replay) value, you won't need to order a replacement console when the newer systems come out. You can just keep grinding away at Mario Kart on your N64."	3065				3 - NAWL	2001-3K		BF8	4.000		11	2	11
2902.00	scenario	STPHOEUR	SOEUR	"SOEUR overwrites ""soir,"" for which I added in SO*EUR, which overwrites ""zero,"" for which I added in SO*."		Getting on a rickety ROLLER COASTER (-R) right after ingesting way too much SOEU (soy) sauce would be an uncomfortable scenario indeed.	"An OIL (OEU)-field worker is fired after his manager learns he SN(o)R-d through his safety training, and has no idea what to do if various emergency scenarios come up."	3066				3 - NAWL	2001-3K		BF9	5.000		8		8
2903.00	conviction	K-FBGS	KEUPT	"KEUPT is based on the addition of KEUP for ""convict."""			"A college baseball coach has a conviction that a high school's star quarterback could throw lots of Ks (strikeouts) in Major League Baseball, so he persuades the quarterback to GS (shun) FB (football) and pursue NCAA baseball instead."	3067				4- Not in a list	2001-3K		BFA	5.000		5		10
2904.00	monthly	PHO*PBLT	PHUBL	"PHUBL is based on the addition of PHUB for ""month."" It overwrites ""must believe,"" for which I added in PH*UBL"				3068				1 - NGSL	2001-3K	2735	BFB	5.000		8		7
2905.00	outlet	AOT/HRET	HRELT	"I also added in HRELTS, which overwrites a misstroke entry for ""let's."" (I use HR-TS for ""let's."")"		"Residents of a town write LEL-s (letters) to request a new TACO (-T) outlet nearby. (HREL is an addition for ""letter."")"		3069				3 - NAWL	2001-3K		BFC	5.000		7	2	6
2906.00	architect	TREGT	TREG	"I also added in TREGS for ""architects,"" which overwrites ""architecture,"" for which I added in TREGT, which overwrites the original outline for ""architect."")"		"It seems that many TOKYO (T-) architects specialize in making futuristic buildings rather than REG (regular) ones. (REG is an outline for ""regular."")"	"TREGT sounds kind of like ""trekked."" Picture an architect who TREGT (trekked) up a mountain every day in order to design a house that would sit on the mountaintop. "	3070				3 - NAWL	2001-3K		BFD	4.000		5		9
2907.00	controversy	KROEFR	KRER	"KRER overwrites ""cartographer,"" for which I added in KR*ER."		"An KRE (increase) in ROLLER COASTER (-R) accidents results in controversy for amusement parks. (KRE is an addition for ""increase."")"	An international controversy erupts when news outlets (falsely) accuse the people of FR (France) of engaging in a mass KROE (crow) slaughter.	3071				3 - NAWL	2001-3K		BFE	4.000		6		11
2908.00	provider	PROEUFRD	P*URP	"P*URP (which overwrites {^-purpose}, for which I added in PAOURP, which overwrites one way to write ""purpose"") is similar to the addition of PUP for ""provide."" Note that PURP maps to ""purpose."""		A PORCUPINE (*) feels that her PURP (purpose) in life is to be a provider for her family.		3072				4- Not in a list	2001-3K		BFF	5.000		8		8
2909.00	comprise	KPRAOEUS	KPREU			KPREU (Capri) Sun comprises about 80% of an 8 year-old's diet.		3073				1 - NGSL	2001-3K	2736	C00	5.000		8		8
2910.00	stir	STEUR						3074				1 - NGSL	2001-3K	2737	C01	5.000		5		4
2911.00	dump	TK*UPL	TKUFP	"TKUFP overwrites one way to write ""Dutch."""		The DUCH (Dutch) have become quite skilled at dumping seawater away from flooded areas and back into the ocean.		3075				4- Not in a list	2001-3K		C02	5.000		6		4
2912.00	compel	KPEL		"I also added in KPELT for ""compulsion"" and KP*ELT for ""compulsive"" (to avoid a conflict with the addition of KPEFL for ""accessible"")."				3076				4- Not in a list	2001-3K		C03	4.000		4		6
2913.00	horror	HOR/O*R	HO*R	"I also added in HO*RBG for ""horrific."""	Alternate: HOR/ROR	"PORCUPINES (*) avoid HOR (horse) riding trails because they have heard horror stories about being trampled by horses. (HOR is an addition for ""horse."")"		3077				4- Not in a list	2001-3K		C04	4.000		6	2	6
2914.00	combat	KPWAT		KBAT		"Baseball is a game of combat between the pitcher, who wants to score a K (strikeout), and the fellow with the BAT (bat)."		3078				4- Not in a list	2001-3K		C05	5.000		5		6
2915.00	relieve	RE/HREF	REFL	"REFL overwrites ""revel,"" for which you can add in RO*EFL, which overwrites ""Rolfe,"" for which I added in RO*EUFL. (I use R*EFL for ""relief"" and ROEFL for ""reversal."")"		Some healthy REFL-ry (revelry) can help relieve stress.		3079				4- Not in a list	2001-3K		C06	4.000		6	2	7
2916.00	excitement	KPAOEUPLT	KPOET	"KPOET overwrites ""compote,"" for which I added in KPO*ET."				3080				1 - NGSL	2001-3K	2738	C07	5.000		9		10
2917.00	feedback	TPAOED/PWA*BG	TPABD			The city of DALLAS (-D) solicits feedback about how it can become a more FAB (fab) place to live.		3081				3 - NAWL	2001-3K		C08	5.000		12	2	8
2918.00	sigh	SAOEU						3082				1 - NGSL	2001-3K	2739	C09	5.000		5		4
2919.00	pregnancy	PRAEGS	PREGT	"PREGT is based on the addition of PREG for ""pregnant."" PREGT overwrites the original outline for ""pregnant."" I also added in PREGTS for ""pregnancies."""				3083				1 - NGSL	2001-3K	2740	C0A	5.000		6		9
2920.00	render	RERPBD	TKRER			"An engineer DRE-s (directs) his mobile workstation to render a design of a ROLLER COASTER (-R). (TKRE is an addition for ""direct."")"		3084				3 - NAWL	2001-3K		C0B	5.000		6		6
2921.00	ceiling	KAOELG	SAELG	"SAELG overwrites one way to write ""sealing."""		"GOAT (-G) herders worry that GOAT (-G) milk SAEL-s (sales) have hit a ceiling. (SAEL is an outline for ""sale."")"	"If a boat is KAOELG (keeling), it may flip over, and the floor will become the ceiling."	3085				4- Not in a list	2001-3K		C0C	5.000		6		7
2922.00	experimental	SPAOERL	SPA*L	"SPA*L is similar to the addition of SPA for ""experiment."""		"Engineers SPAL (inspect) an experimental probe before launching it to the STARS (*). (SPAL is an addition for ""inspect."" See the entry for ""inspection"" for a story for ""inspect."")"	"A teenager tries to justify having a SPAOER (spear) at home by telling his parents that it's for research in ""experimental physics."""	3086				1 - NGSL	2001-3K	2741	C0D	5.000		7		12
2923.00	institutional	TPHAOUGS/A*L	ST*UL	"ST*UL is based on the addition of STUL for ""institute."""				3087				1 - NGSL	2001-3K	2742	C0E	5.000		11	2	13
2924.00	slice	SHRAOEUS	SHRAU	"SHRAU overwrites ""slaw,"" for which I added in SHRA*U. I also added in SHRA*UR for ""slicer"" and SHRA*URS (which overwrites ""staphylococcus aureus,"" for which I added in SHRA*UZ) for ""slicers."""		"""No cole-SLAU (slaw) is complete without a slice of GOLD (AU) leaf,"" a magazine declares."		3088				1 - NGSL	2001-3K	2743	C0F	5.000		8		5
2925.00	publicity	PHR*EUFT	PUBGT	"PUBGT is based on the addition of PUBG for ""public."""			"A physicist generates a lot of publicity by claiming that he has invented a device that can use solar power from our STAR (*), the Sun, to HREUFT (lift) objects and people into space."	3089				4- Not in a list	2001-3K		C10	5.000		8		9
2926.00	decent	TKAOEPBT	TKEFP	"I also added in TKEFPL (which overwrites ""definitely,"" for which I added in TKOUF) for ""decently"" and TKEFPT for ""decency."""	"With regard to TKAOEPBT: Sometimes you can drop the C from two-syllable words with a strong E sound (and maybe on other occasions too). C.f. RAOEPBT for the original outline for ""recent."""	"There are a number of decent ways to TKEP (design) FRENCH FRIES (-F). (TKEP is an addition for ""design."")"		3090				4- Not in a list	2001-3K		C11	5.000		8		6
2927.00	wander	WAERPBD	WAUF	"I also added in WAUFR for ""wanderer."""		A hungry man wanders through a shopping district in search of GOLDEN (AU) WAUF-les (waffles).	"You've been WAERND (warned): Don't wander off the wooden paths at Yellowstone. People have died horrible deaths that way, or at least gone to the AE (Accident & Emergency) department."	3091				1 - NGSL	2001-3K	2744	C12	4.000		7		6
2928.00	equity	KWET	KWAE	"I also added in KWAES (which overwrites one way to write ""questions"") for ""equities"" and KWA*EL for ""equitable."""		"A KANGAROO (K-) WAE-s (weighs) how much money to borrow through a home equity loan. (WAE is an outline for ""weigh."")"		3092				4- Not in a list	2001-3K		C13	4.000		4		6
2929.00	puzzle	PUFL		"You could add in PUZ, but I prefer PUFL, as PUZ forces your pinky finger to move pretty far out to the right."		"Finding a cheap PU (place) to live in coastal FL (Florida) will prove to be quite the PUFL (puzzle). (PU is an addition for ""place."")"		3093				3 - NAWL	2001-3K		C14	4.000		4		6
2930.00	empire	EPL/AOEUR	P*EUR			"An ambitious PORCUPINE (*) PEUR-s (pictures) himself founding an empire that will stretch from one side of the forest to the other. (PEUR is an addition for ""picture."")"	"The actions of empires have normally drawn the AOEUR (ire) of the people living in their colonies, who might say to themselves: ""let's make EM ('em) go away!"""	3094				1 - NGSL	2001-3K	2745	C15	5.000		8	2	6
2931.00	subsequently	SKWEPBT/HREU	KWELT	"KWELT is based on the addition of KWET for ""subsequent."""	SWEPBT/HREU			3095				1 - NGSL	2001-3K	2746	C16	5.000		11	2	12
2932.00	grave	TKPWRAEUF	KRAEB	"I also added in KRAEBL (which overwrites ""considerably,"" for which I added in KR*BL and K*RBL) for ""gravely."""		"A tourist RAEB-s (resists) the urge to box a KANGAROO (K-), knowing that it could send him to his grave. (RAEB is an addition for ""resist."")"	"When a maple tree dies in CANADA (AEU), it is placed into a grave."	3096				4- Not in a list	2001-3K		C17	5.000		9		5
2933.00	overlook	AUFR/HRAOBG	HROFR	"HROFR overwrites ""lover,"" for which I added in HOFR. I also added in HROFRS for ""overlooks."""		"When picking which amusement park to visit, don't overlook a LOF (list) of the world's most exciting ROLLER COASTERS (-R). (HROF is an addition for ""list."")"		3097				4- Not in a list	2001-3K		C18	5.000		10	2	8
2934.00	mask	PHAFBG	PHABG	"PHABG overwrites ""Mac,"" for which I added in PHAUBG, which overwrites one way to write ""make."" I also added in PHABGS for ""masks,"" which overwrites ""maximum,"" for which I added in PH*UP."		A hooligan throws MAK-intosh (McIntosh) APPLES (A) at passersby while wearing a mask.		3098				4- Not in a list	2001-3K		C19	5.000		6		4
2935.00	summit	SUPLT		SUMT		You enjoy SUMT (some tea) on the summit of a Taiwanese mountain.		3099				4- Not in a list	2001-3K		C1A	5.000		5		6
2936.00	unexpected	UN/KP-PTD	KPUBG	"KPUBG is based on the addition of KP-BG for ""expect."" I also added in KPUBLG for ""unexpectedly."""		"It would be quite unexpected for a KANGAROO (K-) to mingle with members of the PUBG (public). (PUBG is an addition for ""public."" Note that KP-BG is an addition for ""expect."")"		3100				4- Not in a list	2001-3K		C1B	5.000		8	2	10
2937.00	circuit	SEURBGT	SEURT			"""SEUR (Sir),"" a tech-savvy butler says, ""it will take me some time to repair the circuits on your motherboard. May I offer you some T (tea) while you wait?"""		3101				4- Not in a list	2001-3K		C1C	5.000		7		7
2938.00	gentle	SKWR*EPBLT	KHUL	"I also added in KHULT for ""gentleness."""		"If you take your pet KANGAROO (K-) on a boat with you, she had better be gentle; otherwise, she might kick a hole in the HUL (hull) of the ship."	"A tough, mean SKWREPBL (general) gets a cute pet PORCUPINE (*) and learns to enjoy herbal T (tea), and because of this, he learns to become gentle."	3102				1 - NGSL	2001-3K	2747	C1D	4.000		10		6
2939.00	steam	STAEPL	STAPL	"I also added in STA*RPL for ""steamer."" (I added in STARPL for ""stammer."")"		"The SPACE SHUTTLE (S-) does not run on steam power, as that would be a pretty inefficient TAPL (technique) for taking off. (TAPL is an addition for ""technique."")"	"If hot steam burns your arm, you'll definitely want to go to the ACCIDENT AND EMERGENCY DEPARTMENT (AE)."	3103				4- Not in a list	2001-3K		C1E	5.000		6		5
2940.00	ongoing	AOPB/TKPW-G	OEPBL	"OEPBL overwrites one way to write ""only,"" for which I added in OEL."		OEPB-ing (owning) a LASER (-L) can give you years of ongoing entertainment.		3104				4- Not in a list	2001-3K		C1F	5.000		10	2	7
2941.00	attendance	A/TEPBD/APBS	AEPBT	"AEPBT is based on the addition of AEPB for ""attend."" AEPBT overwrites one way to write the {ante^} prefix, for which I added in AEUPBT, which overwrites ""ain't,"" for which I added in A*EPB."				3105				1 - NGSL	2001-3K	2748	C20	5.000		10	3	10
2942.00	intelligent	SPWEPBLGT	TULT		SKWR*EPBT	"An intelligent TUL (tourist) to Mexico knows that TACOS (-T) at the airport are probably going to be overpriced. (TUL is an addition for ""tourist."")"	Even the dullest SKWREPBT (gent) out there is still more intelligent than the smartest PORCUPINE (*).	3106				4- Not in a list	2001-3K		C21	4.000		9		11
2943.00	classify	KHRAS/TPEU	KHAF	"KHAF overwrites ""chaff,"" for which I added in KHA*F. I also added in KHAFT for ""classification."""		"Although wheat and KHAF (chaff) come from the same plant, they are classified very differently."	"You can go to a biology KHRAS (class) to learn how to classify different plants and animals, but there may be a TPEU (fee) associated with it."	3107				3 - NAWL	2001-3K		C22	4.000		9	2	8
2944.00	ownership	OERP	O*ERP	 	"The original outline (OERP) outline replaces the PB in OERPB (owner) with a P. It's similar to how the original outline for ""membership"" goes from PHEB (member) to PHEP."	"A STAR (*) organist is pleased to finally take ownership of his own OERP (organ), which will make practicing much easier. (OERP is an addition for ""organ."")"		3108				1 - NGSL	2001-3K	2749	C23	5.000		4		9
2945.00	correctly	KREBGT/HREU	KRO*	"KRO* is based on the addition of KRO for ""correct."" It overwrites ""Colorado,"" for which I added in KRO*E."		"An astronaut whose navigation system failed uses the STARS (*) as a reference to KRO (correct) his orbit, thus making sure that his craft is oriented correctly. (KRO is an addition for ""correct."")"		3109				3 - NAWL	2001-3K		C24	4.000		10	2	9
2946.00	qualification	KW-FGS	KW-FT	"KW-FT is based on KW-F for ""qualify."""				3110				1 - NGSL	2001-3K	2750	C25	4.000		5		13
2947.00	disable	TKAEUBL	A*UBL	"A*UBL is based on the addition of AUBL for ""enable."""			A guy who had reached down to pick up a dropped fork hits his head on the DAEUBL (table) so hard that it disables him for a few days.	3111				4- Not in a list	2001-3K		C26	5.000		7		7
2948.00	inspection	TPH-PGS	SPALT	"SPALT is based on the addition of SPAL for ""inspect."""	SPEBGS	"(Story for SPAL for ""inspect"": an engineer inspects a slab of concrete to see whether it will SPAL (spall) in cold weather.)"	"(A story for SPEBGS, if you prefer that outline: A commanding officer does a careful inspection of his soldiers to look for any SPEBGS (specks) of dust or lint on their uniforms.)"	3112				4- Not in a list	2001-3K		C27	5.000		6		10
2949.00	girlfriend	TKPWOEUF	TPRUF	"TPRUF is similar to the addition of TPREF for ""boyfriend."""	"TKPWOEUF outline uses the same format as that for PWOEUF (boyfriend), and retains the vowel sound too. "	"An American resolves to PRUF (improve) his Japanese by finding a girlfriend in TOKYO (T-). (PRUF is an addition for ""improve."")"		3113				4- Not in a list	2001-3K		C28	5.000		8		10
2950.00	accent	KP*EPBT	SKEP	"I also added in SK*EP for ""accentuate"" and both SKEPT and SK*EPT for ""accentuation."""		"If you really want to SKE (succeed) in decorating your home, accent your window sills with PINEAPPLES (-P). (SKE is an addition for ""succeed."")"	"This brief is pretty phonetic, so why the asterisk? Well, if you're trying to get an acting job in the U.S., it helps if you can speak like a British person. So on your resume, you write that you speak English*, and at the bottom of the page, note: *with an English XENT (accent)."	3114				3 - NAWL	2001-3K		C29	4.000		7		6
2951.00	economist	KPHEFT	KPHET	"KPHET is similar to KPHE for ""economy."""		"An esteemed economist advises everyone to eat TACOS (-T) to support the nation's agricultural KPHE (economy). (KPHE is an outline for ""economy."") "		3115				3 - NAWL	2001-3K		C2A	5.000		6		9
2952.00	scatter	SKAERT	SKART			"The SPACE SHUTTLE (S-) astronauts spend their day scattered about the ship, but come together in the evening for some Mario KART (Kart)."	"A hockey player gets hit in the mouth by a puck, causing his teeth to scatter on the ice. He goes immediately to the ACCIDENT AND EMERGENCY DEPARTMENT (AE), and is SKAERT (scared) that they won't be able to insert his teeth back in time."	3116				3 - NAWL	2001-3K		C2B	5.000		6		7
2953.00	modest	PHOD/EFT	PHOFT	"PHOFT overwrites ""most,"" for which I added in PHO. I also added in PHOFLT for for ""modestly"" and PHOFTS for ""modesty."""		"MOST (most) people on the internet are pretty modest, but the louder ones seem to get all the attention."		3117				4- Not in a list	2001-3K		C2C	5.000		7	2	6
